userName,content,score,thumbsUpCount,reviewCreatedVersion,at,cleaned_content,sentiment_score,sentiment_label,review_length
Peter Pröscholdt,"Given that they intend to heavily rely on AI for voicing, I would rather shove a chainsaw inbetween my legs, rather than continueing to use this app.",1,157,,2025-04-30 07:43:59,given that they intend to heavily rely on ai for voicing i would rather shove a chainsaw inbetween my legs rather than continueing to use this app,0.0,neutral,27
Zack Grenig,"I just want to learn Estonian, Serbian, and Khmer and have the block button actually mean something. I'm sorry for having standards.",1,54,6.27.4,2025-04-30 04:15:44,i just want to learn estonian serbian and khmer and have the block button actually mean something im sorry for having standards,-0.4404,negative,22
Victoria Åström (Biku),"""AI-first""... They removed some really useful features, like the sentence discussions where you could ask questions if you were unsure of why a sentence was structured in a specific way. In some case removing years of good advice to help you actually learn the language. And now they've implemented AI into the app. Language learning is way too complex for an AI to handle. Languages are constantly changing, and there's so much cultural context that a machine wont get the way native speakers will",1,180,5.80.4,2025-04-30 04:11:41,aifirst they removed some really useful features like the sentence discussions where you could ask questions if you were unsure of why a sentence was structured in a specific way in some case removing years of good advice to help you actually learn the language and now theyve implemented ai into the app language learning is way too complex for an ai to handle languages are constantly changing and theres so much cultural context that a machine wont get the way native speakers will,0.8795,positive,84
lnstaII [ CASHPIRATE ] App And Earn,"After using Duolingo for over a year to study German, the experience has been positive overall. The app is user-friendly, motivating with its streak system, and covers fundamental vocabulary and grammar well. Listening and speaking exercises help with pronunciation, and spaced repetition reinforces learning effectively. However, it lacks depth for advanced grammar and can feel repetitive over time. Speech recognition can be hit or miss.",5,1,5.65.14,2025-04-30 01:25:53,after using duolingo for over a year to study german the experience has been positive overall the app is userfriendly motivating with its streak system and covers fundamental vocabulary and grammar well listening and speaking exercises help with pronunciation and spaced repetition reinforces learning effectively however it lacks depth for advanced grammar and can feel repetitive over time speech recognition can be hit or miss,0.9169,positive,65
Walt Disney,"threw a random high level trick question that took all my hearts that I don't understand. Music lessons are reading the notes from storage every time a note is played, resulting in, on some phones, lag at the start of every note, which also desyncs the song causing it to occasionally jump forward when the next note is playing.",1,36,6.27.4,2025-04-29 20:12:26,threw a random high level trick question that took all my hearts that i dont understand music lessons are reading the notes from storage every time a note is played resulting in on some phones lag at the start of every note which also desyncs the song causing it to occasionally jump forward when the next note is playing,0.1531,positive,59
Cha Hida,"Duolingo is just gonna make us pay, day by day. 1st, they changed Lingots to Gems. Then, put 5 Hearth for mistakes. They quibbled that they just wanna make us learn better by reviewing past lessons (we got heart by reviewing lessons). Now they removed it & completely want us to pay with Gems if we want to continue to learn without waiting for hours for 1 heart-live. Which is? Gems cost money! *sure we could gain gems by watching ads. I'm tired of those cheap and low quality T*mu ads!",1,55,6.27.4,2025-04-29 18:15:52,duolingo is just gonna make us pay day by day 1st they changed lingots to gems then put 5 hearth for mistakes they quibbled that they just wanna make us learn better by reviewing past lessons we got heart by reviewing lessons now they removed it completely want us to pay with gems if we want to continue to learn without waiting for hours for 1 heartlive which is gems cost money sure we could gain gems by watching ads im tired of those cheap and low quality tmu ads,0.3582,positive,90
Daniel Kanchev,"I don't want AI in a learning app, bring back contract workers. AI-first, customer and worker - last.",1,242,,2025-04-29 15:48:08,i dont want ai in a learning app bring back contract workers aifirst customer and worker last,-0.0572,negative,17
Kendell Ragsdale,ai slop,1,270,,2025-04-29 09:18:05,ai slop,0.0,neutral,2
Menge habesha መንጌ ሐበሻ,thanks good,5,4,6.25.4,2025-04-28 15:10:56,thanks good,0.7003,positive,2
Ahmad Gamal,not good at all the ads are insane,1,81,6.27.4,2025-04-28 15:10:27,not good at all the ads are insane,-0.6256,negative,8
Ahmed Kano58,its really good for learning English,5,0,6.27.4,2025-04-28 15:09:19,its really good for learning english,0.4927,positive,6
dallas winslow,I love Duolingo so so much I know Japanese🇯🇵 now!!!,5,0,6.27.4,2025-04-28 15:05:08,i love duolingo so so much i know japanese now,0.6369,positive,10
Paniz AASG,its so good,5,0,6.27.4,2025-04-28 15:02:57,its so good,0.4927,positive,3
Rosalinda Bass,Really enjoyed learning new languages!,5,0,6.27.4,2025-04-28 15:02:29,really enjoyed learning new languages,0.5563,positive,5
Lucas Kean,love it!!,5,0,,2025-04-28 15:02:02,love it,0.6369,positive,2
Blackbeautygirl,nice and easy,5,0,6.27.4,2025-04-28 15:01:05,nice and easy,0.6908,positive,3
Pizza,"one day, I used up all of my streak freezes and broke my streak. well, that made Duolingo very mad. I tried to flee to Mexico, but on the plane, everyone started coming to me and said ""Spanish or vanish?"" they didn't let me choose spanish.. so now here i am, chained up to do 3 decades of spanish lessons, only then will I get sent back... please help... (it's a joke if you live under a rock and don't know)",1,33,6.27.4,2025-04-28 15:01:04,one day i used up all of my streak freezes and broke my streak well that made duolingo very mad i tried to flee to mexico but on the plane everyone started coming to me and said spanish or vanish they didnt let me choose spanish so now here i am chained up to do 3 decades of spanish lessons only then will i get sent back please help its a joke if you live under a rock and dont know,0.7686,positive,81
Gold Ayodele,it's a really good app for beginners,5,0,6.27.4,2025-04-28 14:57:50,its a really good app for beginners,0.4927,positive,7
亗Abd el moumene,انه افضل تطبيق من حيث تعلم اللغات و مرح في تعلم,5,0,6.27.4,2025-04-28 14:57:30,,0.0,neutral,0
dream gallery,this app work like a game that is fun and challenging ton of easy waay to learn and when somone pass you in rank a quick adrenaline hitting energy pops up i like this because this already showed good result,5,0,6.27.4,2025-04-28 14:57:18,this app work like a game that is fun and challenging ton of easy waay to learn and when somone pass you in rank a quick adrenaline hitting energy pops up i like this because this already showed good result,0.9413,positive,40
Matthew & Katherine Bryson,Very fun to learn new languages with duolingo!,4,0,6.27.4,2025-04-28 14:57:05,very fun to learn new languages with duolingo,0.5563,positive,8
m mamun,it's too cool,5,0,6.27.4,2025-04-28 14:56:15,its too cool,0.3182,positive,3
Toys and Girls,amazing 👏,5,0,6.27.4,2025-04-28 14:55:24,amazing,0.5859,positive,1
aman kebkab,It's amazing 😋😀😀😀,5,0,6.21.3,2025-04-28 14:50:32,its amazing,0.5859,positive,2
Monica Arusei,I think it is the best on learning wether for learning or pleasure,5,0,6.27.4,2025-04-28 14:49:59,i think it is the best on learning wether for learning or pleasure,0.836,positive,13
sayad 26b,একেবারে অসাধারণ একটি App ja sotti ki bolan apnara hmm kon daki,5,0,6.27.4,2025-04-28 14:48:10,app ja sotti ki bolan apnara hmm kon daki,0.0,neutral,9
Radosław Baryś,"Simply great, keep on learning peeps",5,0,6.27.4,2025-04-28 14:46:26,simply great keep on learning peeps,0.6249,positive,6
Phemelo Mantai,it is a ncaa app am learning Spanish and I am very much understanding understanding understanding understanding understanding the words or knowing some alphabets I now wanna learn sign language the prob is idh time to learn I only got around 5 min a day and that's disturbing for my liking😩😩😭😭,5,0,6.27.4,2025-04-28 14:46:02,it is a ncaa app am learning spanish and i am very much understanding understanding understanding understanding understanding the words or knowing some alphabets i now wanna learn sign language the prob is idh time to learn i only got around 5 min a day and thats disturbing for my liking,-0.1531,negative,51
Ashwin Raj,I downloaded this app to learn Hindi for only speaking & listening but they can't just do it separately. I would appreciate it if they give some options just to learn how to communicate.(and not include reading & writing),1,16,,2025-04-28 14:45:46,i downloaded this app to learn hindi for only speaking listening but they cant just do it separately i would appreciate it if they give some options just to learn how to communicateand not include reading writing,0.5499,positive,37
Mikhaella Perolina,"Excellent,for own experience! it's easy for go learn .",5,0,6.27.4,2025-04-28 14:43:28,excellentfor own experience its easy for go learn,0.4404,positive,8
Christine Cartlidge,fun and educational,5,0,6.27.4,2025-04-28 14:41:56,fun and educational,0.5106,positive,3
Ioan,if I break my streak my family will be executed by duo plz help,5,0,6.27.4,2025-04-28 14:41:28,if i break my streak my family will be executed by duo plz help,0.4588,positive,14
Dareen Almughrabi,perfect,5,0,6.27.4,2025-04-28 14:40:45,perfect,0.5719,positive,1
Hira Sarfraz,need alphabets to teach first,2,7,6.27.4,2025-04-28 14:39:49,need alphabets to teach first,0.0,neutral,5
